datetime,text,retweet_count,reply_count,like_count
2022-01-28 23:59:10+00:00,"Wordle 224 4/6

yay

⬛⬛⬛⬛⬛
⬛⬛⬛⬛🟩
⬛🟩🟩⬛🟩
🟩🟩🟩🟩🟩",0,1,1
2022-01-28 23:59:10+00:00,"So now #dordle is a thing . It's solving two #Wordle at a time. Do you dare? Take the  
Daily Dordle #0004 3&amp;5/7 
⬜⬜⬜🟩⬜ 🟨⬜⬜🟨⬜
🟨⬜🟩🟩🟨 🟩⬜🟨⬜🟨
🟩🟩🟩🟩🟩 🟨🟨🟨⬜⬜
⬛⬛⬛⬛⬛ 🟩⬜🟨🟨🟩
⬛⬛⬛⬛⬛ 🟩🟩🟩🟩🟩
#wordle223 #wordletogether #dailywordchallenge",0,0,0
2022-01-28 23:59:10+00:00,"Wordle 223 4/6

⬛⬛⬛🟨⬛
🟨⬛⬛🟨🟩
⬛🟩🟩⬛🟩
🟩🟩🟩🟩🟩",0,0,0
2022-01-28 23:59:09+00:00,"Wordle 224 6/6

⬛🟨⬛⬛🟨
🟨⬛🟨🟨⬛
🟨🟩⬛🟨⬛
⬛🟩🟩⬛🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩",0,0,2
2022-01-28 23:59:09+00:00,"Wordle 223 5/6

⬛⬛⬛🟨🟨
🟨⬛⬛🟨⬛
🟩🟨🟨🟨⬛
🟩🟨🟩🟨⬛
🟩🟩🟩🟩🟩",0,0,0
2022-01-28 23:59:09+00:00,"@TheBabylonBee “Pittsburgh: The Story of an American City follows Pittsburgh from its frontier beginnings through its evolution into the most heavily industrialized city in the world, to the city's renewal of itself as ""America's Most Livable City.""”

It becomes Perky in the society wordle 223.",0,0,0
2022-01-28 23:59:09+00:00,"Wordle 224 5/6

⬛⬛⬛🟩⬛
🟨🟩⬛⬛⬛
⬛🟩🟩⬛⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩

Sleepy day",0,0,0
2022-01-28 23:59:08+00:00,"Wordle 223 X/6

⬛🟨⬛⬛⬛
⬛⬛🟩⬛⬛
⬛⬛🟩⬛⬛
⬛⬛🟩⬛🟨
⬛⬛🟩⬛🟨
⬛🟩🟩🟩🟩

im mad",0,1,4
2022-01-28 23:59:08+00:00,"Wordle (ES) #22 3/6

⬜🟨🟨⬜⬜
🟩🟨⬜🟨🟩
🟩🟩🟩🟩🟩

 https://t.co/f3C05p9e2b",0,0,0
2022-01-28 23:59:08+00:00,"Wordle 224 4/6

🟩🟩🟩⬜⬜
🟩🟩🟩⬜⬜
🟩🟩🟩⬜⬜
🟩🟩🟩🟩🟩",0,0,0
